lichess_id,ply,result,crisc_player
Ry6sAQ1m,73,1-0,White
Ry6sAQ1m,80,1-0,Black
6U4otKhl,90,0-1,Black
Jn8v3eYF,78,0-1,Black
RLvPdOdb,45,1-0,White
16xvSCJU,82,0-1,Black
mb46QDfV,100,1-0,Black
OEuzprmg,89,1-0,White
gn3mgs2Z,86,0-1,Black
ABmo7tTa,80,0-1,Black
0ObMxG39,128,1/2-1/2,Black
dWlBGrC5,57,0-1,White
YzNqK53f,77,1-0,White
bUGQOEMO,68,0-1,Black
mTJl98Mr,39,1-0,White
mTJl98Mr,41,1-0,White
66bk0TBL,97,1/2-1/2,White
BHuSSyIV,105,1-0,White
XvBATsAc,139,0-1,White
LY8hinku,94,0-1,Black
Unm6sMdx,109,1-0,White
Unm6sMdx,111,1-0,White
TJ9cStrK,33,1-0,White
7MqXQ5T9,81,0-1,White
2wXx9MPH,98,0-1,Black
TxxlXgUb,121,0-1,White
zRwMYNlw,65,1-0,White
rBA000wq,52,0-1,Black
467yZUv5,96,0-1,Black
MC1nNOz5,73,1-0,White
bxrX42Lk,86,1-0,Black
YDoNPn3Y,68,1-0,Black
iZCxtx7i,42,0-1,Black
rGdlnm5i,80,0-1,Black
Ei8BLbEh,52,1-0,Black
8E61xFsq,72,0-1,Black
Pz59x326,77,0-1,White
JwW67CI0,75,1-0,White
gAAQN6cH,77,1-0,White
EiXiUJRe,111,1-0,White
X8TcKSx7,46,0-1,Black
X8TcKSx7,48,0-1,Black
cuAXcC0g,54,1-0,Black
LsRQqVqW,66,1-0,Black
yyxIFO75,62,1-0,Black
QY0Ssmmk,81,0-1,White
U53qVtB5,69,1-0,White
nEN3JZWH,85,1-0,White
Wmtla6T8,74,0-1,Black
6XqULybG,52,0-1,Black
SlrBLNRt,81,1/2-1/2,White
GAHiCKtF,55,1-0,White
VP38kiRO,110,1-0,Black
lOR8cbCq,119,0-1,White
qRr65XjI,49,1-0,White
KDHGzHNP,67,0-1,White
YunLU6Sc,56,0-1,Black
j6H0U89o,127,1-0,White
gLU2i6th,139,0-1,White
1iLVL1f4,42,0-1,Black
INY5mVne,103,0-1,White
Alkf2Hei,65,1-0,White
ZCdyw8Hz,58,1-0,Black
lMyayU23,93,1-0,White
1K4HsGW4,59,1-0,White
1kqUdE91,60,0-1,Black
tOHys5F7,48,1-0,Black
cpfHbwVl,77,1-0,White
SfF6fHwz,68,1-0,Black
agkv6rlP,48,1-0,Black
2DoxgVwR,48,0-1,Black
ddFSIsWQ,86,0-1,Black
rO2GD7Mk,73,1/2-1/2,White
XuqRbjJd,84,0-1,Black
FeEzdQFU,76,1-0,Black
3Aqxdfns,77,1-0,White
2qib1lab,69,0-1,White
IIAKgRlW,60,1-0,Black
Vmiy0y3n,80,0-1,Black
iQbVEsim,96,0-1,Black
k13Oga4x,98,0-1,Black
5Lp8sOLG,47,0-1,White
3gxHxS8T,36,0-1,Black
jNWTTcOE,47,1-0,White
MFIWct24,61,0-1,White
fWvPcTj0,117,1-0,White
aKhTHqBy,54,0-1,Black
L9iH3E5Y,74,1-0,Black
vIFBJFJX,40,0-1,Black
9QCICfSG,80,0-1,Black
i1SbAXRz,100,0-1,Black
QFsQyr4S,79,1-0,White
cJxnW3Wx,73,1-0,White
SNxOxChO,63,1-0,White
HodPZkJs,80,1-0,Black
GOXtMTdc,95,1-0,White
yus4nDPe,88,1-0,Black
Nt39SV4K,58,1-0,Black
zbmvyYn0,105,1-0,White
HYn9l5Ww,76,0-1,Black
eOgANSXb,60,1-0,Black
62fg2ulW,109,0-1,White
VGSgzuWO,33,0-1,White
SQR6thsB,60,0-1,Black
jmpG50jw,30,0-1,Black
MOFyQkpM,74,0-1,Black
9A77ryId,67,1-0,White
Fr5Tqoci,51,1-0,White
QzERFvio,63,1-0,White
