lichess_id,ply,result,player,time_scramble_bracket,player_elo
UjftzGGw,67,0-1,White,<=5s vs 5-10s,2396
FwXufeZt,72,0-1,Black,<=5s vs 5-10s,1663
dp9Npx6n,98,0-1,Black,<=5s vs 5-10s,1851
5c9itbw1,67,0-1,White,<=5s vs 5-10s,1954
rULZApON,52,0-1,Black,<=5s vs 10-15s,1365
DrnYs90t,153,0-1,White,<=5s vs <=5s,1553
YLZEKnER,67,1-0,White,<=5s vs 10-15s,1968
DLxrwbuU,64,0-1,Black,<=5s vs 10-15s,1569
TCwlHspH,73,1-0,White,<=5s vs 5-10s,1386
SH3UslPs,54,0-1,Black,<=5s vs 5-10s,1627
I2CCpXtR,98,1-0,Black,<=5s vs 5-10s,2358
VtbNxtKd,74,0-1,Black,<=5s vs 10-15s,1215
1rosIkpd,74,0-1,Black,<=5s vs 10-15s,2134
R5Miel8e,96,0-1,Black,<=5s vs 10-15s,2022
UjvD5jmH,97,1-0,White,<=5s vs 5-10s,2320
XufcY9DK,158,1/2-1/2,Black,<=5s vs <=5s,1922
DChsEGRg,59,0-1,White,<=5s vs <=5s,1223
OYKpOCML,51,1-0,White,<=5s vs <=5s,2132
gJJ4Mffv,80,0-1,Black,<=5s vs 15-20s,2054
qft1zLPM,111,1-0,White,<=5s vs 10-15s,1929
VMeY96yD,82,0-1,Black,<=5s vs 10-15s,1746
G2LZMOpI,79,1-0,White,<=5s vs 5-10s,1450
QzQ5ibMv,60,0-1,Black,<=5s vs 15-20s,1690
4NZpqfkO,62,0-1,Black,<=5s vs 10-15s,2250
NW748i7O,94,0-1,Black,<=5s vs 5-10s,1655
F2FTdNoC,80,0-1,Black,<=5s vs 5-10s,1658
XzGKWyC5,78,0-1,Black,<=5s vs 5-10s,2014
KJRKuiNV,69,0-1,White,<=5s vs 10-15s,1758
ZUwlcnQf,65,1-0,White,<=5s vs <=5s,2429
T9dvkFGz,74,0-1,Black,<=5s vs 15-20s,1786
wClJ1HlE,44,0-1,Black,<=5s vs 15-20s,1017
sQhmmX1B,79,1-0,White,<=5s vs 15-20s,1894
9v3X8UN3,80,1-0,Black,<=5s vs 5-10s,2161
klX9dWhT,66,0-1,Black,<=5s vs 5-10s,1537
NpzLbGdx,74,1-0,Black,<=5s vs <=5s,2536
z1OWWALA,66,0-1,Black,<=5s vs 15-20s,1666
AlsotG8h,59,1-0,White,<=5s vs 10-15s,2248
UuHUShWw,44,0-1,Black,<=5s vs 5-10s,1186
hHq5DbTD,109,0-1,White,<=5s vs <=5s,2435
F8LuBADL,74,1-0,Black,<=5s vs 5-10s,1537
WRpDWTPS,61,1-0,White,<=5s vs 10-15s,2298
IkR1XaXF,88,0-1,Black,<=5s vs 5-10s,2513
11JXeru0,66,0-1,Black,<=5s vs 5-10s,1820
1ppJgi5K,68,1/2-1/2,Black,<=5s vs 15-20s,2249
CkrconMe,36,1-0,Black,<=5s vs 10-15s,1198
qekMOkU6,97,1-0,White,<=5s vs <=5s,1455
7v8YVvZW,58,1-0,Black,<=5s vs 15-20s,1303
U0IovO85,125,1-0,White,<=5s vs <=5s,2298
